quantity,foodItemID,orderID
8,6,1
7,13,2
1,6,3
1,10,4
10,1,5
10,10,6
7,7,7
1,11,8
1,1,9
5,14,10
4,4,11
7,7,12
4,12,13
6,20,14
8,7,15
1,16,16
4,11,17
10,11,18
1,10,19
4,14,20
6,10,21
2,17,22
1,4,23
9,13,24
3,8,25
3,5,26
8,15,27
9,4,28
7,16,29
8,20,30
8,13,31
10,1,32
1,18,33
1,2,34
9,7,35
2,10,36
1,6,37
1,3,38
5,15,39
9,4,40
3,8,41
4,12,42
6,4,43
3,12,44
2,12,45
9,5,46
6,17,47
1,17,48
9,17,49
2,1,50
9,20,51
9,7,52
2,4,53
8,14,54
7,12,55
4,1,56
3,3,57
3,3,58
5,19,59
7,19,60
5,5,61
1,22,61
2,23,61
5,7,62
7,16,63
1,9,64
5,19,65
9,4,66
7,19,67
7,11,68
3,16,69
6,9,70
9,19,71
2,14,72
7,1,73
2,16,74
9,6,75
7,13,76
10,12,77
8,7,78
9,2,79
7,5,80
8,8,81
1,14,82
9,20,83
3,19,84
8,10,85
1,14,86
10,16,87
3,17,88
8,9,89
10,15,90
5,9,91
8,3,92
5,2,93
4,6,94
2,3,95
5,1,96
1,15,97
1,2,98
8,9,99
4,9,100
7,1,101
1,20,102
3,5,103
5,1,104
4,4,105
3,19,106
8,15,107
10,4,108
3,1,109
10,1,110
10,9,111
1,7,112
7,18,113
7,7,114
7,19,115
4,20,116
10,4,117
9,9,118
9,16,119
2,19,120
4,10,121
1,8,122
4,14,123
7,12,124
8,14,125
7,20,126
3,8,127
3,16,128
7,14,129
9,18,130
8,18,131
7,16,132
10,4,133
5,8,134
4,13,135
3,16,136
8,10,137
4,14,138
9,3,139
10,4,140
4,20,141
5,6,142
9,19,143
4,18,144
6,16,145
9,7,146
9,2,147
5,3,148
1,10,149
1,15,150
6,17,151
4,17,152
9,4,153
1,17,154
3,4,155
3,7,156
9,6,157
10,15,158
6,19,159
3,11,160
2,9,161
8,8,162
10,20,163
4,3,164
5,7,165
5,8,166
2,1,167
8,19,168
3,20,169
5,14,170
9,15,171
10,9,172
7,1,173
1,8,174
10,20,175
2,20,176
4,3,177
2,5,178
10,9,179
2,19,180
7,6,181
8,4,182
9,7,183
7,7,184
6,18,185
2,4,186
8,14,187
10,14,188
8,2,189
3,13,190
8,12,191
6,14,192
8,14,193
2,18,194
1,12,195
2,12,196
3,3,197
8,19,198
4,5,199
3,1,200
9,15,201
4,12,202
3,13,203
4,9,204
1,19,205
1,11,206
5,13,207
6,3,208
7,4,209
2,13,210
4,3,211
4,19,212
3,2,213
3,2,214
2,13,215
4,4,216
9,11,217
6,12,218
5,11,219
4,4,220
10,11,221
5,4,222
10,10,223
10,18,224
8,9,225
4,19,226
2,10,227
2,14,228
3,19,229
8,18,230
2,3,231
4,8,232
1,14,233
5,19,234
9,18,235
6,2,236
2,1,237
6,18,238
9,12,239
5,18,240
7,10,241
9,16,242
4,20,243
2,14,244
6,12,245
4,8,246
6,4,247
9,2,248
4,17,249
3,11,250
3,13,251
6,5,252
3,10,253
7,3,254
5,7,255
1,5,256
7,8,257
7,17,258
10,12,259
2,16,260
9,15,261
1,4,262
1,8,263
9,20,264
8,5,265
7,1,266
10,3,267
4,15,268
1,11,269
2,12,270
10,5,271
5,9,272
5,2,273
2,19,274
8,12,275
6,7,276
8,14,277
10,15,278
10,18,279
9,5,280
9,20,281
3,16,282
6,5,283
6,17,284
9,15,285
4,1,286
5,19,287
1,8,288
4,3,289
9,11,290
1,6,291
5,5,292
5,13,293
7,13,294
2,10,295
7,12,296
5,4,297
3,8,298
5,5,299
1,20,300
