riderID,shiftID,rangeID,month
51,1,7,4
52,2,7,4
53,3,7,4
54,4,5,4
55,3,7,4
56,1,4,4
57,3,4,4
58,4,1,4
59,2,5,4
60,4,4,4
61,1,7,4
62,3,5,4
63,3,4,4
64,4,7,4
65,4,1,4
66,1,6,4
67,4,6,4
68,3,4,4
69,4,5,4
70,4,2,4
71,4,5,4
72,1,3,4
73,4,7,4
74,2,4,4
75,2,4,4
76,1,2,4
77,2,3,4
78,2,2,4
79,4,4,4
80,2,3,4
81,4,4,4
82,3,7,4
83,1,3,4
84,3,3,4
85,4,5,4
86,3,6,4
87,1,1,4
88,4,4,4
89,3,4,4
90,4,4,4
91,3,3,4
92,2,5,4
93,4,5,4
94,4,2,4
95,4,1,4
96,1,6,4
97,4,6,4
98,1,7,4
99,2,4,4
100,1,6,4
101,2,3,4
102,4,6,4
103,4,5,4
104,2,5,4
105,4,4,4
106,3,4,4
107,4,3,4
108,1,5,4
109,2,2,4
110,1,2,4
111,2,3,4
112,1,1,4
113,4,5,4
114,2,2,4
115,4,4,4
116,4,1,4
117,3,6,4
118,2,1,4
119,3,5,4
120,4,4,4
121,1,4,4
122,3,2,4
123,3,2,4
124,2,7,4
125,1,2,4
126,1,2,4
127,4,6,4
128,4,6,4
129,3,2,4
130,3,7,4
131,4,5,4
132,1,3,4
133,4,5,4
134,1,1,4
135,4,7,4
136,1,4,4
137,2,3,4
138,4,5,4
139,2,4,4
140,3,7,4
141,3,4,4
142,4,1,4
143,4,1,4
144,3,1,4
145,1,6,4
146,4,3,4
147,1,5,4
148,3,3,4
149,4,5,4
150,4,3,4
