mwsID,riderID,isFullTime,ftDayRangeID,dayOfWeekID,ftShiftID,ptWorkingHourID
1,1,FALSE,1,mon,1,1
2,1,FALSE,1,tue,1,2
3,1,FALSE,1,wed,1,3
4,1,FALSE,1,thu,1,4
5,1,FALSE,1,fri,1,5
6,1,FALSE,1,sat,1,6
7,1,FALSE,1,sun,1,7
8,1,FALSE,1,mon,1,8
9,1,FALSE,1,tue,1,9
10,1,FALSE,1,wed,1,10
11,1,FALSE,1,thu,1,11
12,1,FALSE,1,fri,1,12
1,2,FALSE,1,sat,1,1
2,2,FALSE,1,sun,1,2
3,2,FALSE,1,mon,1,3
4,2,FALSE,1,tue,1,4
5,2,FALSE,1,wed,1,5
6,2,FALSE,1,thu,1,6
7,2,FALSE,1,fri,1,7
8,2,FALSE,1,sat,1,8
9,2,FALSE,1,sun,1,9
10,2,FALSE,1,mon,1,10
11,2,FALSE,1,tue,1,11
12,2,FALSE,1,wed,1,12
1,3,FALSE,1,thu,1,1
2,3,FALSE,1,fri,1,2
3,3,FALSE,1,sat,1,3
4,3,FALSE,1,sun,1,4
5,3,FALSE,1,mon,1,5
6,3,FALSE,1,tue,1,6
7,3,FALSE,1,wed,1,7
8,3,FALSE,1,thu,1,8
9,3,FALSE,1,fri,1,9
10,3,FALSE,1,sat,1,10
11,3,FALSE,1,sun,1,11
12,3,FALSE,1,mon,1,12
