promotionID,startTimeStamp,endTimeStamp,promoDescription
1,1/1/2020 0:00,1/1/2020 23:59,Apply Code 2NEWKK to get $2 off on all orders!
2,2/1/2020 0:00,2/1/2020 23:59,Apply 2TGIF to get $2 OFF! Order Now!
3,3/1/2020 0:00,3/1/2020 23:59,Get 5% off every order!
4,4/1/2020 0:00,4/1/2020 23:59,Get 10% off every order!
5,5/1/2020 0:00,5/1/2020 23:59,Get 15% off every order!
6,6/1/2020 0:00,6/1/2020 23:59,Get $2 off every order!
7,7/1/2020 0:00,7/1/2020 23:59,Get $3 off every order!
8,8/1/2020 0:00,8/1/2020 23:59,Get $5 off every order!�
9,9/1/2020 0:00,9/1/2020 23:59,Get $2 off delivery fee!
10,10/1/2020 0:00,10/1/2020 23:59,Get $3 off delivery fee!
11,11/1/2020 0:00,11/1/2020 23:59,Get $2 off every order!
12,12/1/2020 0:00,12/1/2020 23:59,Get $2 off every order!
13,13/1/2020 0:00,13/1/2020 23:59,Get $2 off every order!
14,14/1/2020 0:00,14/1/2020 23:59,Get $2 off every order!
15,15/1/2020 0:00,15/1/2020 23:59,Get $2 off every order!
16,16/1/2020 0:00,16/1/2020 23:59,Get $2 off every order!
17,17/1/2020 0:00,17/1/2020 23:59,Get $2 off every order!
18,18/1/2020 0:00,18/1/2020 23:59,Get $2 off every order!
19,19/1/2020 0:00,19/1/2020 23:59,Get $2 off every order!
20,20/1/2020 0:00,20/1/2020 23:59,Get $2 off every order!
21,21/1/2020 0:00,21/1/2020 23:59,Get $2 off every order!
22,22/1/2020 0:00,22/1/2020 23:59,Get $2 off every order!
23,23/1/2020 0:00,23/1/2020 23:59,Get $2 off every order!
24,24/1/2020 0:00,24/1/2020 23:59,Get $2 off every order!
25,25/1/2020 0:00,25/1/2020 23:59,Get $2 off every order!
26,26/1/2020 0:00,26/1/2020 23:59,Get $2 off every order!
27,27/1/2020 0:00,27/1/2020 23:59,Get 10% off every order!
28,28/1/2020 0:00,28/1/2020 23:59,Get 10% off every order!
29,29/1/2020 0:00,29/1/2020 23:59,Get 10% off every order!
30,30/1/2020 0:00,30/1/2020 23:59,Get 10% off every order!
31,31/1/2020 0:00,31/1/2020 23:59,Get 10% off every order!
32,1/2/2020 0:00,1/2/2020 23:59,Get 10% off every order!
33,2/2/2020 0:00,2/2/2020 23:59,Get 10% off every order!
34,3/2/2020 0:00,3/2/2020 23:59,Get 10% off every order!
35,4/2/2020 0:00,4/2/2020 23:59,Get 10% off every order!
36,5/2/2020 0:00,5/2/2020 23:59,Get 10% off every order!
37,6/2/2020 0:00,6/2/2020 23:59,Get 10% off every order!
38,7/2/2020 0:00,7/2/2020 23:59,Get 10% off every order!
39,8/2/2020 0:00,8/2/2020 23:59,Get 10% off every order!
40,9/2/2020 0:00,9/2/2020 23:59,Get 10% off every order!
41,6/5/2020 0:00,9/5/2020 23:59,Get $4 off delivery fee!
